left_EAR,right_EAR,Label
0.138796882,0.150061961,1
0.13738587,0.136843208,1
0.066143731,0.068626841,1
0.326912317,0.344044197,1
0.321873691,0.32234195,1
0.302490493,0.247160691,1
0.315143425,0.299078904,1
0.089247599,0.124815361,1
0.090742617,0.10063393,1
0.025837095,0.027498354,1
0.224986291,0.234405433,1
0.103621983,0.102193488,1
0.077746816,0.071316502,1
0.094873693,0.124914102,1
0.215504014,0.1613362,1
0.090430213,0.074023273,1
0.343312753,0.327351095,1
0.107757731,0.136792608,1
0.314700834,0.295135149,1
0.429052986,0.448859405,1
0.384748744,0.389117847,1
0.121191333,0.114153226,1
0.307744223,0.275254114,1
0.139900581,0.147436629,1
0.391060299,0.380501122,1
0.202878062,0.221317256,1
0.058078492,0.082117798,1
0.129233576,0.147555817,1
0.251295801,0.263484463,1
0.096097472,0.116206811,1
0.324520386,0.32032862,1
0.149639967,0.13912327,1
0.151922839,0.165751264,1
0.366757511,0.440101176,1
0.328862012,0.333815945,1
0.297077092,0.299502352,1
0.394907698,0.367559216,1
0.107113097,0.148180189,1
0.102030795,0.109550078,1
0.377359181,0.392173218,1
0.109722121,0.115146387,1
0.119307134,0.154241331,1
0.117785227,0.13167857,1
0.350250862,0.377944753,1
0.355057028,0.330047015,1
0.106904189,0.073473268,1
0.264654997,0.275414901,1
0.156064197,0.176998678,1
0.102985761,0.120269716,1
0.083202818,0.09026749,1
0.36654172,0.346664778,1
0.153181338,0.148292614,1
0.358976553,0.411795465,1
0.121704634,0.137568034,1
0.07450112,0.084142719,1
0.084469084,0.08077025,1
0.135853792,0.158872564,1
0.353199388,0.342298829,1
0.338428732,0.314417142,1
0.3771934,0.392226162,1
0.348557636,0.338120243,1
0.086417521,0.108774138,1
0.172092506,0.148832564,1
0.274201199,0.249389073,1
0.298678527,0.273778981,1
0.334300723,0.340155455,1
0.348129762,0.330272988,1
0.087897762,0.100575725,1
0.057064302,0.078015475,1
0.318551464,0.315186341,1
0.320885592,0.333070249,1
0.274602386,0.34848979,1
0.286090397,0.299471586,1
0.333088456,0.336508616,1
0.08752766,0.099105011,1
0.399378538,0.38388222,1
0.045802297,0.10237497,1
0.123398852,0.118650808,1
